down,first_down,game_id,play_id,play_type,yards_gained,ydstogo
3,0,3,167,pass,0,10
3,1,3,168,pass,45,6
1,0,3,169,pass,0,10
1,1,3,170,pass,12,10
2,0,4,1,run,2,10
2,0,4,2,run,2,8
1,0,4,3,run,2,10
3,0,4,4,pass,3,4
1,0,4,5,pass,3,10
3,1,4,6,run,17,4
2,0,4,7,pass,3,8
3,1,4,8,run,16,1
1,0,4,9,pass,3,10
3,0,4,10,pass,-9,7
2,0,4,11,pass,3,10
3,0,4,12,pass,0,12
3,1,4,13,pass,22,12
1,0,4,14,run,8,10
2,0,4,15,pass,9,12
2,0,4,16,run,3,9
1,0,4,17,run,3,10
4,1,4,18,pass,3,2
3,1,4,19,pass,18,11
2,0,4,20,run,-3,4
1,0,4,21,pass,0,10
1,0,4,22,run,3,10
2,0,4,23,run,1,9
1,0,4,24,pass,0,10
1,1,4,25,pass,13,10
1,0,4,26,run,-7,10
1,0,4,27,pass,0,10
3,1,4,28,pass,12,10
1,0,4,29,run,0,10
3,0,4,30,pass,4,11
1,0,4,31,run,7,10
2,1,4,32,pass,13,9
2,0,4,33,pass,0,10
3,0,4,34,pass,4,11
1,0,4,35,pass,9,10
1,0,4,36,pass,3,10
1,0,4,37,run,-6,10
2,0,4,38,pass,0,9
2,0,4,39,run,2,10
1,0,4,40,run,7,10
3,1,4,41,pass,3,1
3,1,4,42,run,16,2
1,1,4,43,run,14,10
1,0,4,44,run,3,10
1,0,4,45,pass,0,10
2,0,4,46,pass,0,6
1,0,4,47,run,0,10
2,0,4,48,pass,0,7
3,0,4,49,pass,0,4
1,1,4,50,pass,10,10
2,0,4,51,run,2,4
3,0,4,52,run,-6,4
2,0,4,53,run,0,10
1,0,4,54,run,3,10
3,0,4,55,pass,-4,11
3,0,4,56,run,2,10
1,1,4,57,pass,46,10
3,1,4,58,pass,9,1
1,0,4,59,run,0,10
1,0,4,60,run,2,10
3,0,4,61,run,3,8
1,0,4,62,run,2,10
2,0,4,63,run,0,5
1,1,4,64,run,35,10
1,0,4,65,run,2,10
3,0,4,66,pass,11,15
1,0,4,67,pass,4,10
3,1,4,68,pass,12,2
1,0,4,69,pass,3,10
3,0,4,70,run,2,5
2,0,4,71,pass,-2,9
4,0,4,72,pass,0,10
1,0,4,73,pass,0,10
1,0,4,74,pass,0,10
1,0,4,75,run,7,10
1,0,4,76,pass,9,10
1,0,4,77,pass,0,10
2,0,4,78,pass,-2,7
3,1,4,79,pass,42,8
2,0,4,80,pass,4,6
4,0,4,81,pass,3,5
3,0,4,82,pass,0,2
2,0,4,83,run,6,11
1,0,4,84,run,3,10
3,1,4,85,pass,3,2
3,0,4,86,pass,-5,10
1,0,4,87,pass,8,10
2,0,4,88,pass,2,5
3,1,4,89,run,7,1
3,0,4,90,pass,-8,4
2,0,4,91,pass,2,8
3,1,4,92,pass,38,10
3,0,4,93,run,1,9
2,0,4,94,pass,4,6
3,0,4,95,run,3,5
2,0,4,96,pass,4,11
2,0,4,97,run,7,9
1,0,4,98,run,0,10
1,1,4,99,pass,22,10
2,0,4,100,run,-5,1
2,0,4,101,run,0,8
3,0,4,102,pass,4,9
1,0,4,103,run,6,10
1,0,4,104,pass,5,10
2,1,4,105,pass,10,8
1,0,4,106,run,2,10
3,1,4,107,pass,18,11
3,0,4,108,pass,0,7
1,1,4,109,pass,13,10
3,1,4,110,run,2,1
3,0,4,111,pass,0,10
3,1,4,112,run,3,3
3,1,4,113,pass,10,9
1,0,4,114,run,3,10
3,1,4,115,pass,20,2
1,0,4,116,pass,2,10
2,1,4,117,pass,12,8
3,1,4,118,pass,12,3
1,1,4,119,pass,12,10
1,0,4,120,pass,4,10
1,0,4,121,run,0,10
1,0,4,122,run,3,10
2,0,4,123,pass,0,2
1,0,4,124,pass,0,10
1,0,4,125,pass,2,10
1,1,4,126,pass,10,10
3,0,4,127,pass,2,12
2,0,4,128,run,2,5
1,1,4,129,pass,11,10
3,0,5,1,pass,0,4
2,0,5,2,run,3,8
1,0,5,3,run,0,10
1,0,5,4,run,4,10
1,0,5,5,run,3,10
1,1,5,6,pass,55,10
2,0,5,7,pass,0,11
1,1,5,8,pass,13,10
2,1,5,9,pass,20,10
2,1,5,10,pass,22,12
1,0,5,11,pass,9,10
1,0,5,12,pass,4,10
2,1,5,13,run,3,1
3,0,5,14,pass,0,7
2,0,5,15,run,1,5
1,0,5,16,pass,3,10
1,1,5,17,pass,20,10
1,0,5,18,run,3,10
2,0,5,19,pass,0,7
1,0,5,20,pass,-8,10
2,0,5,21,pass,10,11
4,1,5,22,pass,3,3
3,0,5,23,run,-5,1
1,0,5,24,pass,3,10
1,1,5,25,run,16,10
1,0,5,26,pass,0,10
1,1,5,27,run,13,10
1,0,5,28,run,8,10
1,0,5,29,run,0,10
1,0,5,30,pass,0,10
1,1,5,31,pass,11,10
3,1,5,32,pass,12,5
1,0,5,33,pass,2,10
4,1,5,34,pass,11,2
3,1,5,35,pass,35,10
2,0,5,36,run,7,8
3,0,5,37,pass,0,3
1,0,5,38,run,0,10
2,0,5,39,pass,0,7
2,1,5,40,pass,11,9
3,1,5,41,pass,3,2
3,1,5,42,pass,54,4
1,0,5,43,run,3,10
2,0,5,44,run,2,10
4,0,5,45,pass,0,2
1,0,5,46,run,3,10
3,1,5,47,pass,21,1
2,0,5,48,run,-6,2
1,0,5,49,pass,0,10
3,0,5,50,run,3,8
2,0,5,51,run,-3,8
1,0,5,52,pass,3,10
1,1,5,53,pass,11,10
2,1,5,54,pass,11,2
4,1,5,55,run,7,1
2,0,5,56,run,1,8
1,0,5,57,pass,-7,10
2,1,5,58,run,2,2
3,0,5,59,pass,0,10
3,0,5,60,pass,3,10
1,0,5,61,run,4,10
2,1,5,62,pass,2,1
2,0,5,63,pass,0,3
1,0,5,64,pass,0,10
1,1,5,65,pass,12,10
1,1,5,66,pass,13,10
1,0,5,67,pass,2,10
1,0,5,68,pass,2,10
1,0,5,69,run,3,10
1,0,5,70,run,3,10
2,1,5,71,run,13,9
2,0,5,72,run,-5,8
1,0,5,73,run,3,10
2,0,5,74,run,2,4
1,0,5,75,pass,0,10
3,0,5,76,pass,3,15
1,0,5,77,run,7,10
2,1,5,78,pass,10,5
3,0,5,79,pass,0,6
1,1,5,80,pass,10,10
1,0,5,81,run,0,10
4,1,5,82,run,8,3
3,1,5,83,pass,7,3
3,0,5,84,run,0,1
2,0,5,85,pass,3,5
2,0,5,86,run,6,8
3,0,5,87,run,-3,7
3,0,5,88,pass,0,7
1,0,5,89,pass,0,10
3,1,5,90,pass,12,2
3,0,5,91,pass,0,8
3,1,5,92,pass,4,3
3,1,5,93,pass,21,5
4,1,5,94,pass,3,1
1,0,5,95,pass,0,10
1,0,5,96,pass,0,10
2,0,5,97,run,3,6
1,0,5,98,run,0,10
2,1,5,99,run,28,5
2,0,5,100,pass,-8,1
3,1,5,101,pass,11,11
4,1,5,102,pass,20,2
1,1,5,103,run,32,10
2,1,5,104,pass,50,2
1,1,5,105,pass,10,10
2,0,5,106,pass,-4,14
2,1,5,107,run,6,2
1,0,5,108,pass,0,10
2,0,5,109,pass,2,8
2,1,5,110,pass,18,11
1,0,5,111,run,3,10
3,0,5,112,run,3,4
2,0,5,113,pass,-8,2
1,0,5,114,pass,0,10
1,0,5,115,run,2,10
1,0,5,116,pass,7,10
3,0,5,117,pass,0,8
2,0,5,118,run,0,5
3,1,5,119,pass,10,6
3,0,5,120,pass,2,3
2,1,5,121,pass,17,8
1,0,5,122,run,0,10
2,1,5,123,pass,20,7
3,1,5,124,pass,11,7
1,0,5,125,pass,9,10
1,0,5,126,pass,0,10
2,1,5,127,run,17,7
1,0,5,128,run,3,10
4,1,5,129,pass,4,1
3,0,5,130,pass,2,4
4,1,5,131,run,2,1
1,1,5,132,pass,11,10
2,0,5,133,pass,9,10
3,0,5,134,run,-5,1
3,1,5,135,run,2,2
2,1,5,136,pass,11,3
3,1,5,137,pass,11,9
3,0,5,138,run,3,7
1,0,5,139,run,7,10
2,1,5,140,run,8,7
2,0,5,141,run,6,8
1,0,5,142,pass,4,10
1,1,5,143,pass,20,10
2,0,5,144,run,3,7
2,0,5,145,pass,0,4
3,0,5,146,pass,-5,6
1,1,5,147,pass,20,10
3,0,5,148,pass,3,5
3,0,5,149,pass,4,6
3,1,5,150,pass,4,3
3,0,5,151,pass,4,5
2,0,6,1,pass,3,7
2,0,6,2,run,2,8
2,0,6,3,run,-5,8
1,0,6,4,run,3,10
2,0,6,5,run,1,8
1,0,6,6,pass,0,10
3,0,6,7,pass,3,4
3,0,6,8,pass,2,10
3,1,6,9,pass,44,1
2,1,6,10,pass,10,1
1,0,6,11,run,0,10
2,0,6,12,pass,-7,8
1,1,6,13,run,18,10
3,0,6,14,pass,3,9
3,1,6,15,run,6,2
2,1,6,16,pass,21,10
1,0,6,17,pass,3,10
2,0,6,18,run,-2,7
4,0,6,19,run,3,5
1,0,6,20,pass,2,10
1,0,6,21,pass,3,10
1,1,6,22,pass,11,10
2,0,6,23,run,2,6
1,1,6,24,pass,67,10
3,1,6,25,pass,20,1
3,0,6,26,pass,0,15
1,0,6,27,run,3,10
4,1,6,28,run,3,1
3,1,6,29,run,4,4
4,0,6,30,run,3,5
3,0,6,31,pass,11,15
3,1,6,32,pass,18,1
3,0,6,33,run,0,5
1,0,6,34,run,3,10
1,0,6,35,run,-7,10
2,1,6,36,pass,13,10
3,1,6,37,pass,11,10
1,0,6,38,run,6,10
2,1,6,39,run,6,6
1,0,6,40,run,-4,10
1,0,6,41,run,2,10
3,0,6,42,pass,0,7
1,1,6,43,pass,12,10
1,0,6,44,pass,8,10
2,0,6,45,pass,-9,7
1,0,6,46,run,0,10
2,0,6,47,run,-1,10
3,1,6,48,pass,21,2
1,0,6,49,run,3,10
1,0,6,50,run,8,10
1,0,6,51,pass,0,10
4,1,6,52,run,4,3
1,0,6,53,run,0,10
4,0,6,54,run,3,4
2,0,6,55,run,-4,7
2,0,6,56,run,3,12
3,0,6,57,pass,3,20
2,0,6,58,pass,0,4
1,0,6,59,run,7,10
2,1,6,60,pass,12,6
3,1,6,61,run,8,3
2,0,6,62,pass,0,11
2,0,6,63,pass,0,8
2,0,6,64,run,8,9
1,0,6,65,pass,3,10
1,0,6,66,run,0,10
1,0,6,67,run,2,10
2,0,6,68,pass,2,9
2,0,6,69,run,3,8
4,0,6,70,pass,0,1
1,0,6,71,pass,-6,10
4,0,6,72,pass,2,4
3,1,6,73,pass,9,7
4,1,6,74,pass,4,1
1,0,6,75,run,3,10
2,0,6,76,run,0,4
2,1,6,77,pass,19,2
1,0,6,78,run,3,10
3,0,6,79,run,3,11
1,0,6,80,run,-3,10
1,0,6,81,run,8,10
2,0,6,82,pass,0,15
3,0,6,83,pass,0,7
1,0,6,84,run,2,10
2,0,6,85,pass,3,7
3,0,6,86,pass,-4,6
1,0,6,87,pass,3,10
2,1,6,88,pass,9,4
1,0,6,89,run,-3,10
2,0,6,90,run,2,4
2,0,6,91,run,2,4
2,0,6,92,pass,3,10
1,0,6,93,run,3,10
2,0,6,94,run,-2,5
1,0,6,95,pass,3,10
3,1,6,96,run,4,3
1,0,6,97,run,2,10
3,1,6,98,pass,13,10
1,0,6,99,pass,0,10
1,1,6,100,pass,13,10
3,0,6,101,pass,3,5
1,0,6,102,pass,3,10
2,0,6,103,run,6,7
2,0,6,104,pass,4,10
2,0,6,105,pass,11,12
1,1,6,106,pass,10,10
2,0,6,107,run,2,9
1,0,6,108,run,3,10
3,1,6,109,pass,9,3
1,1,6,110,run,14,10
2,1,6,111,pass,13,10
2,1,6,112,run,8,1
1,0,6,113,pass,3,10
2,1,6,114,run,8,5
1,0,6,115,pass,0,10
1,0,6,116,pass,0,10
2,0,6,117,run,3,5
1,0,6,118,pass,0,10
2,0,6,119,run,0,7
1,0,6,120,pass,-4,10
3,0,6,121,pass,2,7
3,1,6,122,pass,18,12
1,0,6,123,pass,0,10
1,0,6,124,run,3,10
2,1,6,125,pass,22,7
3,1,6,126,pass,3,1
1,0,6,127,run,-2,10
1,1,6,128,run,23,10
1,1,6,129,pass,19,10
3,0,6,130,pass,4,10
1,0,6,131,run,4,10
1,0,6,132,pass,0,10
1,0,6,133,run,3,10
3,0,6,134,pass,3,8
3,0,6,135,run,7,9
2,0,6,136,pass,4,9
1,0,6,137,pass,0,10
1,0,6,138,run,7,10
1,0,6,139,run,2,10
2,0,6,140,pass,10,11
1,1,6,141,pass,10,10
1,0,6,142,pass,0,10
4,0,6,143,run,3,4
2,0,6,144,run,-5,9
3,0,7,1,run,2,4
1,0,7,2,run,2,10
3,1,7,3,pass,3,3
1,1,7,4,run,14,10
1,0,7,5,run,3,10
2,0,7,6,run,2,7
3,0,7,7,pass,10,15
1,1,7,8,pass,11,10
2,0,7,9,run,2,8
2,1,7,10,pass,4,3
2,0,7,11,run,3,6
1,0,7,12,run,3,10
2,1,7,13,pass,10,10
2,1,7,14,run,6,6
1,1,7,15,run,15,10
3,1,7,16,run,3,2
1,1,7,17,pass,10,10
2,0,7,18,run,3,10
1,0,7,19,run,3,10
2,0,7,20,pass,2,10
1,0,7,21,pass,4,10
3,1,7,22,run,6,5
4,0,7,23,pass,4,10
1,0,7,24,pass,4,10
2,0,7,25,run,2,5
3,0,7,26,run,3,20
1,0,7,27,run,3,10
3,1,7,28,run,3,3
4,0,7,29,pass,0,10
1,0,7,30,pass,0,10
1,1,7,31,pass,20,10
1,0,7,32,run,0,10
1,0,7,33,run,3,10
3,1,7,34,pass,20,3
2,0,7,35,run,3,9
3,1,7,36,run,43,5
2,0,7,37,pass,-6,11
2,1,7,38,pass,20,6
2,0,7,39,run,-2,6
1,0,7,40,run,0,10
1,0,7,41,run,5,10
1,0,7,42,run,3,10
